Starting training from scratch...
epoch: 59/300	current LR: 0.000953	trainloss: 2.0448	trainacc: 30.10%	testacc: 47.22%
epoch: 60/300	current LR: 0.000951	trainloss: 2.0584	trainacc: 30.45%	testacc: 48.19%
epoch: 61/300	current LR: 0.000948	trainloss: 2.0251	trainacc: 31.40%	testacc: 43.76%
epoch: 62/300	current LR: 0.000946	trainloss: 2.0430	trainacc: 30.96%	testacc: 44.78%
epoch: 63/300	current LR: 0.000943	trainloss: 2.0412	trainacc: 31.85%	testacc: 45.03%
epoch: 64/300	current LR: 0.000940	trainloss: 2.0268	trainacc: 31.78%	testacc: 45.80%
epoch: 65/300	current LR: 0.000938	trainloss: 2.0324	trainacc: 30.83%	testacc: 48.34%
epoch: 66/300	current LR: 0.000935	trainloss: 2.0282	trainacc: 30.75%	testacc: 49.06%
epoch: 67/300	current LR: 0.000932	trainloss: 2.0064	trainacc: 32.48%	testacc: 47.02%
epoch: 68/300	current LR: 0.000929	trainloss: 2.0200	trainacc: 32.16%	testacc: 48.60%
epoch: 69/300	current LR: 0.000926	trainloss: 2.0259	trainacc: 31.72%	testacc: 50.94%
epoch: 70/300	current LR: 0.000923	trainloss: 1.9997	trainacc: 32.78%	testacc: 49.87%
epoch: 71/300	current LR: 0.000920	trainloss: 1.9728	trainacc: 33.77%	testacc: 50.53%
epoch: 72/300	current LR: 0.000917	trainloss: 2.0162	trainacc: 31.68%	testacc: 50.64%
epoch: 73/300	current LR: 0.000914	trainloss: 1.9913	trainacc: 33.26%	testacc: 48.60%
epoch: 74/300	current LR: 0.000911	trainloss: 1.9810	trainacc: 33.26%	testacc: 49.77%
epoch: 75/300	current LR: 0.000908	trainloss: 1.9817	trainacc: 34.40%	testacc: 52.67%
epoch: 76/300	current LR: 0.000905	trainloss: 1.9829	trainacc: 33.52%	testacc: 49.62%
epoch: 77/300	current LR: 0.000901	trainloss: 1.9558	trainacc: 34.85%	testacc: 54.10%
epoch: 78/300	current LR: 0.000898	trainloss: 1.9727	trainacc: 34.34%	testacc: 54.05%
epoch: 79/300	current LR: 0.000894	trainloss: 1.9703	trainacc: 33.98%	testacc: 52.47%
epoch: 80/300	current LR: 0.000891	trainloss: 1.9663	trainacc: 35.52%	testacc: 52.57%
epoch: 81/300	current LR: 0.000888	trainloss: 1.9630	trainacc: 34.93%	testacc: 52.98%
epoch: 82/300	current LR: 0.000884	trainloss: 1.9587	trainacc: 35.23%	testacc: 54.36%
epoch: 83/300	current LR: 0.000880	trainloss: 1.9586	trainacc: 35.80%	testacc: 53.08%
epoch: 84/300	current LR: 0.000877	trainloss: 1.9167	trainacc: 37.42%	testacc: 56.14%
epoch: 85/300	current LR: 0.000873	trainloss: 1.9195	trainacc: 37.09%	testacc: 56.55%
epoch: 86/300	current LR: 0.000869	trainloss: 1.9348	trainacc: 37.17%	testacc: 58.69%
epoch: 87/300	current LR: 0.000865	trainloss: 1.9302	trainacc: 36.96%	testacc: 54.81%
epoch: 88/300	current LR: 0.000862	trainloss: 1.9215	trainacc: 37.47%	testacc: 55.93%
epoch: 89/300	current LR: 0.000858	trainloss: 1.9218	trainacc: 37.09%	testacc: 58.79%
epoch: 90/300	current LR: 0.000854	trainloss: 1.9261	trainacc: 37.89%	testacc: 57.31%
epoch: 91/300	current LR: 0.000850	trainloss: 1.9179	trainacc: 38.01%	testacc: 57.67%
epoch: 92/300	current LR: 0.000846	trainloss: 1.9016	trainacc: 38.75%	testacc: 58.07%
epoch: 93/300	current LR: 0.000842	trainloss: 1.8905	trainacc: 38.50%	testacc: 60.11%
epoch: 94/300	current LR: 0.000837	trainloss: 1.9119	trainacc: 37.15%	testacc: 58.33%
epoch: 95/300	current LR: 0.000833	trainloss: 1.8839	trainacc: 39.18%	testacc: 57.56%
epoch: 96/300	current LR: 0.000829	trainloss: 1.8831	trainacc: 39.87%	testacc: 61.39%
epoch: 97/300	current LR: 0.000825	trainloss: 1.8784	trainacc: 39.58%	testacc: 61.39%
epoch: 98/300	current LR: 0.000821	trainloss: 1.8866	trainacc: 38.12%	testacc: 60.26%
epoch: 99/300	current LR: 0.000816	trainloss: 1.8570	trainacc: 39.87%	testacc: 63.27%
epoch: 100/300	current LR: 0.000812	trainloss: 1.8703	trainacc: 39.64%	testacc: 59.96%
epoch: 101/300	current LR: 0.000808	trainloss: 1.8744	trainacc: 39.85%	testacc: 60.32%
epoch: 102/300	current LR: 0.000803	trainloss: 1.8477	trainacc: 40.61%	testacc: 59.14%
epoch: 103/300	current LR: 0.000799	trainloss: 1.8279	trainacc: 41.44%	testacc: 58.94%
epoch: 104/300	current LR: 0.000794	trainloss: 1.8545	trainacc: 39.70%	testacc: 61.33%
epoch: 105/300	current LR: 0.000790	trainloss: 1.8648	trainacc: 40.21%	testacc: 62.20%
epoch: 106/300	current LR: 0.000785	trainloss: 1.8320	trainacc: 41.69%	testacc: 64.54%
epoch: 107/300	current LR: 0.000780	trainloss: 1.8265	trainacc: 41.73%	testacc: 63.47%
epoch: 108/300	current LR: 0.000776	trainloss: 1.8356	trainacc: 42.30%	testacc: 64.29%
epoch: 109/300	current LR: 0.000771	trainloss: 1.8145	trainacc: 41.99%	testacc: 65.36%
epoch: 110/300	current LR: 0.000766	trainloss: 1.8841	trainacc: 39.47%	testacc: 63.88%
epoch: 111/300	current LR: 0.000761	trainloss: 1.8162	trainacc: 42.37%	testacc: 65.21%
epoch: 112/300	current LR: 0.000757	trainloss: 1.8157	trainacc: 41.84%	testacc: 61.23%
epoch: 113/300	current LR: 0.000752	trainloss: 1.8401	trainacc: 40.57%	testacc: 65.26%
