epoch,lr,trainloss,trainacc,testloss,testacc
128,0.000676,1.7408,45.41,1.0969,66.73
129,0.000671,1.7502,46.29,1.0450,68.98
130,0.000665,1.7759,45.60,1.0343,69.18
131,0.000660,1.7615,45.32,1.0834,69.03
132,0.000655,1.7379,47.31,1.0733,69.03
133,0.000650,1.7405,46.50,1.0823,68.31
134,0.000644,1.7126,47.41,1.0513,68.16
135,0.000639,1.7646,45.01,1.0319,70.71
136,0.000633,1.7165,48.13,1.0276,69.79
137,0.000628,1.7576,45.01,1.0768,68.42
138,0.000623,1.7240,47.35,1.0534,70.10
139,0.000617,1.7463,45.36,1.0424,68.72
140,0.000612,1.7439,46.12,0.9935,71.01
141,0.000606,1.6936,48.00,0.9961,71.27
142,0.000601,1.7396,46.08,1.0335,71.17
143,0.000595,1.7388,46.99,0.9712,72.34
144,0.000590,1.7327,46.82,1.0152,70.86
145,0.000584,1.7079,47.37,0.9814,71.57
146,0.000579,1.6957,47.58,0.9833,71.06
147,0.000573,1.7137,48.41,0.9785,71.63
148,0.000568,1.6929,47.75,1.0045,70.40
149,0.000562,1.7246,47.46,0.9614,71.78
150,0.000556,1.6959,48.74,0.9669,70.96
151,0.000551,1.6798,49.02,0.9650,71.83
152,0.000545,1.6843,48.72,0.9825,72.59
153,0.000540,1.7201,48.62,0.9660,72.29
154,0.000534,1.6920,48.85,0.9609,71.98
155,0.000529,1.6976,48.26,1.0286,69.79
156,0.000523,1.6755,50.43,0.9581,72.64
157,0.000517,1.6775,48.89,0.9519,73.10
158,0.000512,1.7111,48.07,0.9945,70.96
159,0.000506,1.6839,49.21,0.9371,72.95
160,0.000501,1.6854,48.22,0.9274,73.31
161,0.000495,1.6931,49.21,0.9019,73.82
162,0.000489,1.6553,51.40,0.9295,73.76
163,0.000484,1.7096,48.38,0.9250,74.43
164,0.000478,1.6679,49.88,0.9198,73.46
165,0.000472,1.6402,51.40,0.9199,74.07
166,0.000467,1.6841,49.93,0.9153,74.38
167,0.000461,1.6710,48.74,0.8767,74.38
168,0.000456,1.6323,51.49,0.9020,73.15
169,0.000450,1.6861,48.60,0.9025,74.43
170,0.000445,1.6780,50.24,0.8921,74.22
171,0.000439,1.6411,50.79,0.8442,74.89
172,0.000433,1.6293,51.51,0.8826,73.76
173,0.000428,1.6373,51.72,0.9036,74.58
174,0.000422,1.6321,51.72,0.8575,76.11
175,0.000417,1.6493,51.55,0.8699,75.96
176,0.000411,1.6171,52.00,0.8626,76.06
177,0.000406,1.6280,52.23,0.8661,75.19
178,0.000400,1.6097,53.26,0.8364,75.85
179,0.000395,1.6464,51.76,0.8870,73.92
180,0.000389,1.6235,52.67,0.8537,74.73
181,0.000384,1.6420,51.87,0.8720,75.14
182,0.000378,1.6150,52.73,0.8618,74.73
183,0.000373,1.5874,53.79,0.8313,76.26
184,0.000368,1.6034,53.12,0.8604,75.85
185,0.000362,1.6062,53.33,0.8463,76.52
186,0.000357,1.5855,53.20,0.8433,77.18
187,0.000351,1.6411,50.92,0.8697,75.29
188,0.000346,1.5647,54.66,0.8164,76.46
189,0.000341,1.5736,55.31,0.8419,76.62
190,0.000336,1.5876,53.52,0.8154,76.77
191,0.000330,1.6128,53.09,0.8421,76.31
