W0822 14:41:16.905000 1072805 torch/distributed/run.py:766] 
W0822 14:41:16.905000 1072805 torch/distributed/run.py:766] *****************************************
W0822 14:41:16.905000 1072805 torch/distributed/run.py:766] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0822 14:41:16.905000 1072805 torch/distributed/run.py:766] *****************************************
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home2/sian/.netrc.
wandb: Currently logged in as: sian-shinjo (sian-shinjo-iiit-hyderabad) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run agjb1au6
wandb: Tracking run with wandb version 0.28.2
wandb: Run data is saved locally in /home2/sian/summer-project/vision-transformer/wandb/run-20260822_144142-agjb1au6
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run vit-baseline
wandb: ⭐️ View project at https://wandb.ai/sian-shinjo-iiit-hyderabad/vision-transformer
wandb: 🚀 View run at https://wandb.ai/sian-shinjo-iiit-hyderabad/vision-transformer/runs/agjb1au6
Starting training from scratch...
epoch: 44/300	current LR: 0.000982	trainloss: 2.0196	trainacc: 28.00%	testacc: 36.78%
epoch: 45/300	current LR: 0.000980	trainloss: 2.0526	trainacc: 26.67%	testacc: 28.94%
epoch: 46/300	current LR: 0.000979	trainloss: 2.0593	trainacc: 26.44%	testacc: 27.20%
epoch: 47/300	current LR: 0.000977	trainloss: 2.1223	trainacc: 23.19%	testacc: 33.32%
epoch: 48/300	current LR: 0.000976	trainloss: 2.0865	trainacc: 26.19%	testacc: 30.06%
epoch: 49/300	current LR: 0.000974	trainloss: 2.0609	trainacc: 27.16%	testacc: 30.16%
epoch: 50/300	current LR: 0.000972	trainloss: 2.0496	trainacc: 26.99%	testacc: 33.88%
epoch: 51/300	current LR: 0.000970	trainloss: 2.0448	trainacc: 27.01%	testacc: 33.88%
epoch: 52/300	current LR: 0.000968	trainloss: 2.0278	trainacc: 28.30%	testacc: 32.35%
epoch: 53/300	current LR: 0.000966	trainloss: 2.0215	trainacc: 28.43%	testacc: 36.63%
epoch: 54/300	current LR: 0.000964	trainloss: 1.9920	trainacc: 29.50%	testacc: 35.61%
epoch: 55/300	current LR: 0.000962	trainloss: 2.0070	trainacc: 28.24%	testacc: 33.32%
epoch: 56/300	current LR: 0.000960	trainloss: 2.0371	trainacc: 27.94%	testacc: 29.39%
epoch: 57/300	current LR: 0.000958	trainloss: 2.0405	trainacc: 28.11%	testacc: 30.92%
epoch: 58/300	current LR: 0.000955	trainloss: 2.0617	trainacc: 26.53%	testacc: 30.26%
epoch: 59/300	current LR: 0.000953	trainloss: 2.0194	trainacc: 28.36%	testacc: 33.93%
epoch: 60/300	current LR: 0.000951	trainloss: 2.0290	trainacc: 27.92%	testacc: 33.62%
epoch: 61/300	current LR: 0.000948	trainloss: 1.9931	trainacc: 29.61%	testacc: 37.85%
epoch: 62/300	current LR: 0.000946	trainloss: 1.9537	trainacc: 31.19%	testacc: 36.78%
epoch: 63/300	current LR: 0.000943	trainloss: 1.9928	trainacc: 29.25%	testacc: 37.29%
epoch: 64/300	current LR: 0.000940	trainloss: 1.9789	trainacc: 29.90%	testacc: 31.79%
epoch: 65/300	current LR: 0.000938	trainloss: 1.9800	trainacc: 29.86%	testacc: 34.08%
epoch: 66/300	current LR: 0.000935	trainloss: 1.9946	trainacc: 29.80%	testacc: 34.03%
epoch: 67/300	current LR: 0.000932	trainloss: 1.9964	trainacc: 29.52%	testacc: 33.06%
epoch: 68/300	current LR: 0.000929	trainloss: 2.0439	trainacc: 27.41%	testacc: 32.45%
epoch: 69/300	current LR: 0.000926	trainloss: 2.0186	trainacc: 28.93%	testacc: 28.37%
epoch: 70/300	current LR: 0.000923	trainloss: 2.1448	trainacc: 22.13%	testacc: 23.38%
epoch: 71/300	current LR: 0.000920	trainloss: 2.1615	trainacc: 20.57%	testacc: 22.52%
epoch: 72/300	current LR: 0.000917	trainloss: 2.2349	trainacc: 17.80%	testacc: 16.15%
epoch: 73/300	current LR: 0.000914	trainloss: 2.2689	trainacc: 15.18%	testacc: 18.24%
epoch: 74/300	current LR: 0.000911	trainloss: 2.2169	trainacc: 17.61%	testacc: 21.60%
epoch: 75/300	current LR: 0.000908	trainloss: 2.2012	trainacc: 18.56%	testacc: 23.33%
epoch: 76/300	current LR: 0.000905	trainloss: 2.2078	trainacc: 18.01%	testacc: 17.27%
epoch: 77/300	current LR: 0.000901	trainloss: 2.2162	trainacc: 17.85%	testacc: 22.87%
epoch: 78/300	current LR: 0.000898	trainloss: 2.2020	trainacc: 18.69%	testacc: 23.79%
epoch: 79/300	current LR: 0.000894	trainloss: 2.1812	trainacc: 19.45%	testacc: 20.22%
epoch: 80/300	current LR: 0.000891	trainloss: 2.1786	trainacc: 19.96%	testacc: 25.47%
epoch: 81/300	current LR: 0.000888	trainloss: 2.1715	trainacc: 21.10%	testacc: 25.01%
epoch: 82/300	current LR: 0.000884	trainloss: 2.1686	trainacc: 20.15%	testacc: 24.61%
epoch: 83/300	current LR: 0.000880	trainloss: 2.1632	trainacc: 21.52%	testacc: 21.34%
epoch: 84/300	current LR: 0.000877	trainloss: 2.1639	trainacc: 21.18%	testacc: 27.46%
epoch: 85/300	current LR: 0.000873	trainloss: 2.1336	trainacc: 22.24%	testacc: 25.88%
epoch: 86/300	current LR: 0.000869	trainloss: 2.1668	trainacc: 20.61%	testacc: 24.04%
epoch: 87/300	current LR: 0.000865	trainloss: 2.1559	trainacc: 20.21%	testacc: 26.34%
epoch: 88/300	current LR: 0.000862	trainloss: 2.1322	trainacc: 22.77%	testacc: 26.49%
epoch: 89/300	current LR: 0.000858	trainloss: 2.1208	trainacc: 23.55%	testacc: 27.05%
epoch: 90/300	current LR: 0.000854	trainloss: 2.1203	trainacc: 23.04%	testacc: 26.34%
epoch: 91/300	current LR: 0.000850	trainloss: 2.1228	trainacc: 23.38%	testacc: 24.91%
epoch: 92/300	current LR: 0.000846	trainloss: 2.1565	trainacc: 20.57%	testacc: 24.15%
epoch: 93/300	current LR: 0.000842	trainloss: 2.1231	trainacc: 22.58%	testacc: 22.36%
epoch: 94/300	current LR: 0.000837	trainloss: 2.1686	trainacc: 20.76%	testacc: 26.90%
epoch: 95/300	current LR: 0.000833	trainloss: 2.1852	trainacc: 20.27%	testacc: 23.23%
epoch: 96/300	current LR: 0.000829	trainloss: 2.1624	trainacc: 21.80%	testacc: 27.20%
epoch: 97/300	current LR: 0.000825	trainloss: 2.1766	trainacc: 20.17%	testacc: 23.23%
epoch: 98/300	current LR: 0.000821	trainloss: 2.1706	trainacc: 20.65%	testacc: 26.85%
epoch: 99/300	current LR: 0.000816	trainloss: 2.1318	trainacc: 23.86%	testacc: 24.55%
epoch: 100/300	current LR: 0.000812	trainloss: 2.1490	trainacc: 21.69%	testacc: 20.48%
epoch: 101/300	current LR: 0.000808	trainloss: 2.1725	trainacc: 20.91%	testacc: 21.80%
epoch: 102/300	current LR: 0.000803	trainloss: 2.1689	trainacc: 20.70%	testacc: 22.57%
epoch: 103/300	current LR: 0.000799	trainloss: 2.1764	trainacc: 20.34%	testacc: 22.01%
epoch: 104/300	current LR: 0.000794	trainloss: 2.1616	trainacc: 20.72%	testacc: 24.71%
epoch: 105/300	current LR: 0.000790	trainloss: 2.1462	trainacc: 21.84%	testacc: 22.67%
epoch: 106/300	current LR: 0.000785	trainloss: 2.1631	trainacc: 20.99%	testacc: 25.37%
epoch: 107/300	current LR: 0.000780	trainloss: 2.1401	trainacc: 21.52%	testacc: 22.82%
epoch: 108/300	current LR: 0.000776	trainloss: 2.1853	trainacc: 19.94%	testacc: 24.76%
epoch: 109/300	current LR: 0.000771	trainloss: 2.1576	trainacc: 21.41%	testacc: 26.24%
epoch: 110/300	current LR: 0.000766	trainloss: 2.1477	trainacc: 21.82%	testacc: 25.73%
epoch: 111/300	current LR: 0.000761	trainloss: 2.1579	trainacc: 21.27%	testacc: 23.74%
epoch: 112/300	current LR: 0.000757	trainloss: 2.1944	trainacc: 19.28%	testacc: 21.24%
epoch: 113/300	current LR: 0.000752	trainloss: 2.1834	trainacc: 20.21%	testacc: 23.64%
epoch: 114/300	current LR: 0.000747	trainloss: 2.1747	trainacc: 20.87%	testacc: 23.33%
epoch: 115/300	current LR: 0.000742	trainloss: 2.1620	trainacc: 21.06%	testacc: 25.37%
epoch: 116/300	current LR: 0.000737	trainloss: 2.1540	trainacc: 21.73%	testacc: 25.83%
epoch: 117/300	current LR: 0.000732	trainloss: 2.1475	trainacc: 21.90%	testacc: 23.94%
epoch: 118/300	current LR: 0.000727	trainloss: 2.1568	trainacc: 21.75%	testacc: 24.91%
epoch: 119/300	current LR: 0.000722	trainloss: 2.1594	trainacc: 21.41%	testacc: 23.38%
epoch: 120/300	current LR: 0.000717	trainloss: 2.1597	trainacc: 21.18%	testacc: 26.08%
epoch: 121/300	current LR: 0.000712	trainloss: 2.1524	trainacc: 21.80%	testacc: 25.22%
epoch: 122/300	current LR: 0.000707	trainloss: 2.1600	trainacc: 21.10%	testacc: 25.17%
epoch: 123/300	current LR: 0.000702	trainloss: 2.1586	trainacc: 21.41%	testacc: 23.79%
epoch: 124/300	current LR: 0.000697	trainloss: 2.1446	trainacc: 22.05%	testacc: 23.64%
epoch: 125/300	current LR: 0.000692	trainloss: 2.1125	trainacc: 24.14%	testacc: 24.91%
epoch: 126/300	current LR: 0.000686	trainloss: 2.1286	trainacc: 23.44%	testacc: 25.98%
epoch: 127/300	current LR: 0.000681	trainloss: 2.1120	trainacc: 23.84%	testacc: 28.02%
epoch: 128/300	current LR: 0.000676	trainloss: 2.1236	trainacc: 23.84%	testacc: 27.76%
epoch: 129/300	current LR: 0.000671	trainloss: 2.1034	trainacc: 24.10%	testacc: 27.56%
epoch: 130/300	current LR: 0.000665	trainloss: 2.0961	trainacc: 23.93%	testacc: 27.56%
epoch: 131/300	current LR: 0.000660	trainloss: 2.0958	trainacc: 23.95%	testacc: 28.32%
epoch: 132/300	current LR: 0.000655	trainloss: 2.0899	trainacc: 24.37%	testacc: 27.31%
epoch: 133/300	current LR: 0.000650	trainloss: 2.1188	trainacc: 23.21%	testacc: 27.36%
epoch: 134/300	current LR: 0.000644	trainloss: 2.0996	trainacc: 23.53%	testacc: 26.39%
epoch: 135/300	current LR: 0.000639	trainloss: 2.1012	trainacc: 24.48%	testacc: 28.94%
epoch: 136/300	current LR: 0.000633	trainloss: 2.1168	trainacc: 22.43%	testacc: 25.06%
epoch: 137/300	current LR: 0.000628	trainloss: 2.1271	trainacc: 22.96%	testacc: 27.41%
epoch: 138/300	current LR: 0.000623	trainloss: 2.1014	trainacc: 23.89%	testacc: 27.41%
epoch: 139/300	current LR: 0.000617	trainloss: 2.0963	trainacc: 24.29%	testacc: 27.66%
epoch: 140/300	current LR: 0.000612	trainloss: 2.1075	trainacc: 23.63%	testacc: 24.10%
epoch: 141/300	current LR: 0.000606	trainloss: 2.0996	trainacc: 24.37%	testacc: 27.31%
epoch: 142/300	current LR: 0.000601	trainloss: 2.1065	trainacc: 24.48%	testacc: 29.50%
epoch: 143/300	current LR: 0.000595	trainloss: 2.0945	trainacc: 24.16%	testacc: 30.46%
epoch: 144/300	current LR: 0.000590	trainloss: 2.0900	trainacc: 25.53%	testacc: 31.23%
epoch: 145/300	current LR: 0.000584	trainloss: 2.0664	trainacc: 25.39%	testacc: 29.39%
epoch: 146/300	current LR: 0.000579	trainloss: 2.0670	trainacc: 25.91%	testacc: 30.57%
epoch: 147/300	current LR: 0.000573	trainloss: 2.0695	trainacc: 25.43%	testacc: 30.06%
epoch: 148/300	current LR: 0.000568	trainloss: 2.0739	trainacc: 25.28%	testacc: 31.18%
epoch: 149/300	current LR: 0.000562	trainloss: 2.0682	trainacc: 25.53%	testacc: 29.75%
epoch: 150/300	current LR: 0.000556	trainloss: 2.0624	trainacc: 26.08%	testacc: 30.72%
epoch: 151/300	current LR: 0.000551	trainloss: 2.0846	trainacc: 25.32%	testacc: 30.16%
epoch: 152/300	current LR: 0.000545	trainloss: 2.0883	trainacc: 24.86%	testacc: 28.83%
epoch: 153/300	current LR: 0.000540	trainloss: 2.1021	trainacc: 22.89%	testacc: 31.07%
epoch: 154/300	current LR: 0.000534	trainloss: 2.0746	trainacc: 25.60%	testacc: 30.26%
epoch: 155/300	current LR: 0.000529	trainloss: 2.0751	trainacc: 25.49%	testacc: 31.18%
epoch: 156/300	current LR: 0.000523	trainloss: 2.0827	trainacc: 25.64%	testacc: 30.46%
epoch: 157/300	current LR: 0.000517	trainloss: 2.0741	trainacc: 25.32%	testacc: 32.71%
epoch: 158/300	current LR: 0.000512	trainloss: 2.0640	trainacc: 25.17%	testacc: 28.07%
epoch: 159/300	current LR: 0.000506	trainloss: 2.0766	trainacc: 25.28%	testacc: 28.68%
epoch: 160/300	current LR: 0.000501	trainloss: 2.0825	trainacc: 25.11%	testacc: 27.10%
epoch: 161/300	current LR: 0.000495	trainloss: 2.0641	trainacc: 26.04%	testacc: 30.51%
epoch: 162/300	current LR: 0.000489	trainloss: 2.0891	trainacc: 26.08%	testacc: 29.29%
epoch: 163/300	current LR: 0.000484	trainloss: 2.0716	trainacc: 25.62%	testacc: 32.35%
epoch: 164/300	current LR: 0.000478	trainloss: 2.0397	trainacc: 27.07%	testacc: 32.25%
epoch: 165/300	current LR: 0.000472	trainloss: 2.0285	trainacc: 27.39%	testacc: 31.13%
epoch: 166/300	current LR: 0.000467	trainloss: 2.0135	trainacc: 29.23%	testacc: 33.16%
epoch: 167/300	current LR: 0.000461	trainloss: 2.0452	trainacc: 26.04%	testacc: 31.48%
epoch: 168/300	current LR: 0.000456	trainloss: 2.0330	trainacc: 27.58%	testacc: 28.73%
epoch: 169/300	current LR: 0.000450	trainloss: 2.0554	trainacc: 26.65%	testacc: 32.50%
epoch: 170/300	current LR: 0.000445	trainloss: 2.0495	trainacc: 27.16%	testacc: 32.81%
epoch: 171/300	current LR: 0.000439	trainloss: 2.0257	trainacc: 27.39%	testacc: 34.90%
epoch: 172/300	current LR: 0.000433	trainloss: 2.0454	trainacc: 27.18%	testacc: 32.76%
epoch: 173/300	current LR: 0.000428	trainloss: 2.0197	trainacc: 28.43%	testacc: 32.60%
epoch: 174/300	current LR: 0.000422	trainloss: 2.0120	trainacc: 29.31%	testacc: 34.23%
epoch: 175/300	current LR: 0.000417	trainloss: 2.0278	trainacc: 27.84%	testacc: 32.14%
epoch: 176/300	current LR: 0.000411	trainloss: 2.0324	trainacc: 27.86%	testacc: 35.00%
epoch: 177/300	current LR: 0.000406	trainloss: 1.9985	trainacc: 29.21%	testacc: 33.47%
epoch: 178/300	current LR: 0.000400	trainloss: 1.9920	trainacc: 30.26%	testacc: 33.72%
epoch: 179/300	current LR: 0.000395	trainloss: 2.0205	trainacc: 28.43%	testacc: 32.45%
epoch: 180/300	current LR: 0.000389	trainloss: 2.0308	trainacc: 27.73%	testacc: 35.05%
epoch: 181/300	current LR: 0.000384	trainloss: 1.9986	trainacc: 29.67%	testacc: 32.25%
epoch: 182/300	current LR: 0.000378	trainloss: 2.0023	trainacc: 28.60%	testacc: 34.34%
