epoch,lr,trainloss,trainacc,testloss,testacc
128,0.000676,2.1236,23.84,2.0237,27.76
129,0.000671,2.1034,24.10,2.0241,27.56
130,0.000665,2.0961,23.93,1.9927,27.56
131,0.000660,2.0958,23.95,2.0201,28.32
132,0.000655,2.0899,24.37,2.0254,27.31
133,0.000650,2.1188,23.21,2.0374,27.36
134,0.000644,2.0996,23.53,2.0407,26.39
135,0.000639,2.1012,24.48,2.0078,28.94
136,0.000633,2.1168,22.43,2.0635,25.06
137,0.000628,2.1271,22.96,2.0318,27.41
138,0.000623,2.1014,23.89,2.0176,27.41
139,0.000617,2.0963,24.29,2.0200,27.66
140,0.000612,2.1075,23.63,2.0727,24.10
141,0.000606,2.0996,24.37,2.0133,27.31
142,0.000601,2.1065,24.48,1.9925,29.50
143,0.000595,2.0945,24.16,1.9788,30.46
144,0.000590,2.0900,25.53,1.9705,31.23
145,0.000584,2.0664,25.39,1.9859,29.39
146,0.000579,2.0670,25.91,1.9685,30.57
147,0.000573,2.0695,25.43,1.9937,30.06
148,0.000568,2.0739,25.28,1.9522,31.18
149,0.000562,2.0682,25.53,1.9838,29.75
150,0.000556,2.0624,26.08,1.9834,30.72
151,0.000551,2.0846,25.32,1.9550,30.16
152,0.000545,2.0883,24.86,2.0088,28.83
153,0.000540,2.1021,22.89,1.9525,31.07
154,0.000534,2.0746,25.60,1.9894,30.26
155,0.000529,2.0751,25.49,1.9453,31.18
156,0.000523,2.0827,25.64,1.9549,30.46
157,0.000517,2.0741,25.32,1.9468,32.71
158,0.000512,2.0640,25.17,1.9904,28.07
159,0.000506,2.0766,25.28,2.0057,28.68
160,0.000501,2.0825,25.11,1.9889,27.10
161,0.000495,2.0641,26.04,1.9456,30.51
162,0.000489,2.0891,26.08,1.9759,29.29
163,0.000484,2.0716,25.62,1.9228,32.35
164,0.000478,2.0397,27.07,1.9276,32.25
165,0.000472,2.0285,27.39,1.9139,31.13
166,0.000467,2.0135,29.23,1.8924,33.16
167,0.000461,2.0452,26.04,1.9344,31.48
168,0.000456,2.0330,27.58,1.9802,28.73
169,0.000450,2.0554,26.65,1.9185,32.50
170,0.000445,2.0495,27.16,1.9082,32.81
171,0.000439,2.0257,27.39,1.8898,34.90
172,0.000433,2.0454,27.18,1.8851,32.76
173,0.000428,2.0197,28.43,1.8991,32.60
174,0.000422,2.0120,29.31,1.8749,34.23
175,0.000417,2.0278,27.84,1.9167,32.14
176,0.000411,2.0324,27.86,1.8865,35.00
177,0.000406,1.9985,29.21,1.8712,33.47
178,0.000400,1.9920,30.26,1.8847,33.72
179,0.000395,2.0205,28.43,1.9145,32.45
180,0.000389,2.0308,27.73,1.8702,35.05
181,0.000384,1.9986,29.67,1.8884,32.25
182,0.000378,2.0023,28.60,1.8646,34.34
183,0.000373,2.0011,29.86,1.8477,35.25
184,0.000368,1.9996,29.25,1.8587,35.40
185,0.000362,1.9838,29.82,1.8509,34.39
186,0.000357,1.9908,29.52,1.8407,35.97
187,0.000351,1.9701,30.24,1.8305,36.22
188,0.000346,1.9866,29.50,1.8330,36.53
189,0.000341,1.9691,31.05,1.8310,35.25
190,0.000336,1.9682,30.56,1.8484,35.05
191,0.000330,1.9672,30.69,1.8282,35.81
192,0.000325,1.9882,29.61,1.8270,34.18
193,0.000320,1.9854,29.86,1.8310,37.09
194,0.000315,1.9768,30.41,1.8210,36.37
195,0.000309,1.9806,29.06,1.8026,37.19
196,0.000304,1.9799,29.27,1.8319,35.76
197,0.000299,1.9639,30.90,1.8103,35.71
198,0.000294,1.9477,31.32,1.7839,36.63
199,0.000289,1.9478,30.92,1.7959,36.07
200,0.000284,1.9583,31.40,1.7900,37.04
201,0.000279,1.9255,32.00,1.7803,37.24
202,0.000274,1.9231,31.68,1.7490,39.43
203,0.000269,1.9133,32.76,1.7405,40.80
204,0.000264,1.9311,32.69,1.7683,39.17
205,0.000259,1.9183,33.16,1.7582,39.23
206,0.000254,1.9060,32.90,1.7425,40.14
207,0.000249,1.9147,32.42,1.7504,39.68
208,0.000244,1.9240,31.70,1.7378,41.11
209,0.000240,1.9140,32.42,1.7385,39.23
210,0.000235,1.9042,32.67,1.7157,40.75
211,0.000230,1.8980,34.70,1.7242,40.96
212,0.000225,1.8864,34.53,1.7159,40.09
213,0.000221,1.8733,34.85,1.7120,40.14
214,0.000216,1.8854,34.19,1.7096,40.96
215,0.000211,1.8972,33.77,1.7231,40.60
216,0.000207,1.8801,33.94,1.7148,40.55
217,0.000202,1.8702,34.74,1.7263,39.89
218,0.000198,1.8670,35.80,1.7171,39.84
219,0.000193,1.8539,35.99,1.7025,40.91
220,0.000189,1.8810,34.36,1.7098,40.75
221,0.000185,1.8873,33.98,1.6967,41.47
222,0.000180,1.8610,34.59,1.6953,41.21
223,0.000176,1.8632,34.17,1.6829,41.26
224,0.000172,1.8490,35.52,1.6856,41.31
225,0.000168,1.8422,36.47,1.6693,42.44
226,0.000164,1.8404,35.99,1.6519,42.84
227,0.000159,1.8531,35.35,1.6600,44.01
228,0.000155,1.8382,36.79,1.6631,43.86
229,0.000151,1.8360,35.63,1.6605,43.10
230,0.000147,1.8266,37.09,1.6762,42.28
231,0.000143,1.8397,36.56,1.6509,43.76
232,0.000139,1.8306,35.82,1.6453,41.67
233,0.000136,1.8347,36.37,1.6584,42.28
234,0.000132,1.8293,36.41,1.6447,43.30
235,0.000128,1.8011,37.85,1.6286,45.24
236,0.000124,1.8219,37.13,1.6253,44.47
237,0.000121,1.7996,36.85,1.6247,44.42
238,0.000117,1.8152,37.23,1.6228,43.71
239,0.000113,1.7894,39.03,1.6113,45.95
240,0.000110,1.8138,37.28,1.6171,44.83
241,0.000107,1.8083,36.81,1.5962,45.75
242,0.000103,1.8270,36.33,1.5920,45.59
243,0.000100,1.7815,38.33,1.6031,45.44
244,0.000096,1.7969,37.80,1.5956,45.75
245,0.000093,1.8047,37.19,1.5973,45.44
246,0.000090,1.7800,37.74,1.5806,46.15
247,0.000087,1.7897,38.37,1.5809,46.00
